TEAM,GP,W,L,MIN,%FGA_2PT,%FGA_3PT,%PTS_2PT,%PTS_2PT_MR,%PTS_3PT,%PTS_FBPS,%PTS_FT,%PTS_OFFTO,%PTS_PITP,2FGM_%AST,2FGM_%UAST,3FGM_%AST,3FGM_%UAST,FGM_%AST,FGM_%UAST,season,type
Atlanta Hawks,52,32,20,3,69.3,30.7,44,10.9,28.5,12.8,27.4,19.8,33.2,42,58,77.1,22.9,52.6,47.4,2008-2009,clutch
Milwaukee Bucks,82,60,22,48.2,58.1,41.9,50.6,5.5,34.2,15,15.2,14.1,45.1,50,50,82.5,17.5,60.1,39.9,2018-2019,all
Toronto Raptors,82,58,24,48.5,62.1,37.9,52.1,9.7,32.4,16,15.4,15.1,42.4,49.9,50.1,85.2,14.8,60.3,39.7,2018-2019,all
Golden State Warriors,82,57,25,48.3,61.6,38.4,52.3,15.6,33.8,16.2,13.9,13.8,36.7,61,39,80.3,19.7,66.8,33.2,2018-2019,all
Denver Nuggets,82,54,28,48.1,65.2,34.8,55.9,8.8,29.9,11.4,14.3,14.2,47.1,57.1,42.9,88.3,11.7,65.3,34.7,2018-2019,all
Houston Rockets,82,53,29,48.4,48.1,51.9,40.6,3.6,42.5,10.6,16.9,15.8,37,48.2,51.8,62.6,37.4,54.1,45.9,2018-2019,all
Portland Trail Blazers,82,53,29,48.4,66.1,33.9,54.6,11.6,28.8,9.6,16.6,13.1,43,47.2,52.8,74.9,25.1,54.4,45.6,2018-2019,all
Philadelphia 76ers,82,51,31,48.3,65.8,34.2,53.3,10.4,28.2,13,18.4,13.3,42.9,54.6,45.4,93.7,6.3,64.8,35.2,2018-2019,all
Utah Jazz,82,50,32,48.2,60.6,39.4,50.7,6.1,32.5,9.5,16.8,14.7,44.6,55.6,44.4,84.8,15.2,64.4,35.6,2018-2019,all
Boston Celtics,82,49,33,48.2,61.9,38.1,52.5,12.7,33.6,14.5,13.9,16.1,39.8,52.7,47.3,85.4,14.6,62.4,37.6,2018-2019,all
Oklahoma City Thunder,82,49,33,48.4,65.3,34.7,54.7,9.4,29.8,15.9,15.6,16.8,45.3,45.1,54.9,81.4,18.6,54.8,45.2,2018-2019,all
Indiana Pacers,82,48,34,48.1,70.8,29.2,59,13.7,26.4,13.5,14.7,17.6,45.2,55.7,44.3,86.4,13.6,62.8,37.2,2018-2019,all
LA Clippers,82,48,34,48.4,70.5,29.5,54.3,9.8,26.1,12.4,19.6,13.5,44.5,49.7,50.3,84.9,15.1,58.2,41.8,2018-2019,all
San Antonio Spurs,82,48,34,48.3,71.4,28.6,58,19.3,26.6,9.3,15.4,12.6,38.7,49.4,50.6,86.5,13.5,58,42,2018-2019,all
Brooklyn Nets,82,42,40,48.7,59.7,40.3,49,5.5,34.1,10.4,16.9,13.7,43.4,50.8,49.2,77.4,22.6,59.2,40.8,2018-2019,all
Orlando Magic,82,42,40,48.2,64,36,54.1,13,31.9,10.1,14,14.2,41,55.3,44.7,83.2,16.8,63.2,36.8,2018-2019,all
Detroit Pistons,82,41,41,48.4,60.6,39.4,49.9,8.1,33.9,9.4,16.1,14.8,41.9,46.5,53.5,83.1,16.9,57.9,42.1,2018-2019,all
Charlotte Hornets,82,39,43,48.4,62.2,37.8,51.1,8.9,32.3,10.6,16.6,14.5,42.2,49.4,50.6,77.7,22.3,57.8,42.2,2018-2019,all
Miami Heat,82,39,43,48.1,63.2,36.8,53.6,7.3,32.1,9.4,14.3,14.7,46.3,50.5,49.5,88,12,61.2,38.8,2018-2019,all
Sacramento Kings,82,39,43,48.1,67.9,32.1,55.8,10.4,29.7,18.3,14.5,16.9,45.4,50.7,49.3,81.8,18.2,58.8,41.2,2018-2019,all
Los Angeles Lakers,82,37,45,48.2,65.8,34.2,57.7,7.9,27.7,17.3,14.6,15,49.8,53.9,46.1,79.3,20.7,60,40,2018-2019,all
Minnesota Timberwolves,82,36,46,48.4,68.5,31.5,56.1,12.1,26.9,10.4,17,15.5,44,50.5,49.5,86.2,13.8,59.1,40.9,2018-2019,all
Dallas Mavericks,82,33,49,48.2,57.8,42.2,48.4,7.5,34.3,11.3,17.3,13.4,40.9,50.6,49.4,80.6,19.4,60.3,39.7,2018-2019,all
Memphis Grizzlies,82,33,49,48.5,65.8,34.2,54.2,9.5,28.7,11.9,17.1,16.6,44.8,56.2,43.8,82.6,17.4,63.1,36.9,2018-2019,all
New Orleans Pelicans,82,33,49,48.2,67.6,32.4,57.9,7.4,26.7,12.8,15.4,14,50.4,54.2,45.8,86.9,13.1,61.9,38.1,2018-2019,all
Washington Wizards,82,32,50,48.6,63,37,54,10.1,29.8,12.4,16.1,15.5,43.9,53.3,46.7,86.8,13.2,62.3,37.7,2018-2019,all
Atlanta Hawks,82,29,53,48.4,59.7,40.3,50,4.9,34.4,13.4,15.5,15,45.1,53.3,46.7,82.4,17.6,62.4,37.6,2018-2019,all
Chicago Bulls,82,22,60,48.5,70.5,29.5,58.6,10.2,26,11.5,15.4,14.5,48.4,46.5,53.5,83.8,16.2,55,45,2018-2019,all
Cleveland Cavaliers,82,19,63,48.2,66.8,33.2,54.7,12.1,29.7,10.1,15.7,13.8,42.6,43.5,56.5,80.2,19.8,53.2,46.8,2018-2019,all
Phoenix Suns,82,19,63,48.5,66.5,33.5,56.7,10.4,26.9,14.1,16.4,17,46.3,52.8,47.2,80.8,19.2,59.5,40.5,2018-2019,all
New York Knicks,82,17,65,48.2,66.6,33.4,53.9,11.8,28.8,10.6,17.3,14.1,42.1,41.8,58.2,82.6,17.4,52.5,47.5,2018-2019,all
San Antonio Spurs,82,62,20,48.2,74.3,25.7,60.8,17.2,24.2,12.6,14.9,15.6,43.6,55.4,44.6,87.2,12.8,62.1,37.9,2013-2014,all
Oklahoma City Thunder,82,59,23,48.3,72.9,27.1,58.1,18.4,22.9,15.3,19,16.7,39.7,52.1,47.9,71.5,28.5,56.2,43.8,2013-2014,all
Los Angeles Clippers,82,57,25,48.2,70.9,29.1,56.8,17.9,23.5,17.3,19.7,18,38.9,56.8,43.2,84.7,15.3,62.8,37.2,2013-2014,all
Indiana Pacers,82,56,26,48.2,76.5,23.5,60.5,20.8,20.8,9.9,18.7,16.1,39.7,49.8,50.2,83.1,16.9,56,44,2013-2014,all
Houston Rockets,82,54,28,48.4,67,33,53,5.7,26.5,17.1,20.5,15,47.3,47.2,52.8,83.4,16.6,56.3,43.7,2013-2014,all
Miami Heat,82,54,28,48.5,70.8,29.2,59.1,14.9,23.8,12.9,17.1,18.9,44.2,50.9,49.1,88,12,58.8,41.2,2013-2014,all
Portland Trail Blazers,82,54,28,48.4,71,29,55.7,20.4,26.4,10.2,17.9,13,35.3,52.3,47.7,81.7,18.3,59.4,40.6,2013-2014,all
Golden State Warriors,82,51,31,48.4,70.9,29.1,57.6,15.9,27.2,14.5,15.2,16.4,41.7,53.9,46.1,75.5,24.5,59.1,40.9,2013-2014,all
Memphis Grizzlies,82,50,32,48.3,82.9,17.1,68.9,19.4,15.4,11,15.7,16.9,49.5,52.6,47.4,89.4,10.6,57.4,42.6,2013-2014,all
Dallas Mavericks,82,49,33,48.4,72.6,27.4,58.8,18.9,25.2,11.7,16,16.4,39.9,52,48,86.1,13.9,59.6,40.4,2013-2014,all
Chicago Bulls,82,48,34,48.6,77.8,22.2,60.8,21,19.8,10.5,19.3,16.4,39.8,61.1,38.9,85.4,14.6,65.4,34.6,2013-2014,all
Phoenix Suns,82,48,34,48.2,70,30,55.8,15.7,26.6,17.8,17.6,16.8,40.1,38.8,61.2,82.4,17.6,49.3,50.7,2013-2014,all
Toronto Raptors,82,48,34,48.7,71.5,28.5,54.9,16.5,25.8,9.5,19.4,16.6,38.4,50.1,49.9,83.5,16.5,58.1,41.9,2013-2014,all
Brooklyn Nets,82,44,38,48.5,69.9,30.1,55,16,26.3,9.4,18.7,18.9,39,49.1,50.9,88,12,58.5,41.5,2013-2014,all
Washington Wizards,82,44,38,48.9,75.4,24.6,61.3,20.3,23.5,15.6,15.2,18.1,41,52.5,47.5,90,10,60.1,39.9,2013-2014,all
Charlotte Bobcats,82,43,39,48.5,78.1,21.9,61.9,20.2,19.5,10.5,18.6,14.8,41.7,53.9,46.1,87.4,12.6,59.7,40.3,2013-2014,all
Minnesota Timberwolves,82,40,42,48.4,75.5,24.5,59.1,14.8,20.5,15,20.4,17.6,44.3,56.4,43.6,83.8,16.2,61.6,38.4,2013-2014,all
Atlanta Hawks,82,38,44,48.4,68.4,31.6,55.4,14.7,27.8,13.7,16.8,17.2,40.6,59.8,40.2,87.2,12.8,66.7,33.3,2013-2014,all
New York Knicks,82,37,45,48.4,69.8,30.2,56.1,22.1,28.2,9.1,15.7,17,34,45,55,81.8,18.2,54.2,45.8,2013-2014,all
Denver Nuggets,82,36,46,48.2,72.2,27.8,57.1,12.8,24.6,15,18.3,15.8,44.4,51.8,48.2,81.5,18.5,58.4,41.6,2013-2014,all
New Orleans Pelicans,82,34,48,48.4,80.7,19.3,64,18.3,17.8,13.3,18.2,16.8,45.6,50.6,49.4,86.6,13.4,56.3,43.7,2013-2014,all
Cleveland Cavaliers,82,33,49,48.6,76.4,23.6,60.9,20.9,21.8,10.9,17.4,15.3,40,51.3,48.7,82.2,17.8,57.2,42.8,2013-2014,all
Detroit Pistons,82,29,53,48.2,77.8,22.2,64.6,13.2,18.4,16.7,17.1,17.9,51.3,49.3,50.7,77.9,22.1,53.9,46.1,2013-2014,all
Sacramento Kings,82,28,54,48.4,78.2,21.8,61.5,17.8,17.9,13,20.6,15,43.8,46.3,53.7,76.2,23.8,51.1,48.9,2013-2014,all
Los Angeles Lakers,82,27,55,48.1,70.9,29.1,56,16.2,27.5,14.8,16.5,15.5,39.9,56.9,43.1,85.4,14.6,63.9,36.1,2013-2014,all
Boston Celtics,82,25,57,48.1,74.9,25.1,61.4,22.1,21.9,12.5,16.8,16.5,39.3,51.1,48.9,85.2,14.8,57.6,42.4,2013-2014,all
Utah Jazz,82,25,57,48.2,76.3,23.7,61.8,18.1,20.9,13,17.3,14.5,43.7,48.6,51.4,91,9,56.4,43.6,2013-2014,all
Orlando Magic,82,23,59,48.7,76.5,23.5,62.1,22.6,21.3,11.7,16.5,15.3,39.5,52.3,47.7,78.3,21.7,57.1,42.9,2013-2014,all
Philadelphia 76ers,82,19,63,48.4,74.2,25.8,62.1,12.3,21.2,17.5,16.7,18.7,49.8,50.7,49.3,88,12,57.6,42.4,2013-2014,all
Milwaukee Bucks,82,15,67,48.5,76.9,23.1,61.4,18.3,21,13.3,17.6,16.9,43.1,54.7,45.3,81.2,18.8,59.6,40.4,2013-2014,all
Cleveland Cavaliers,82,66,16,48.2,74.1,25.9,57.5,22,23.9,11.4,18.5,17.2,35.6,48.4,51.6,79,21,55,45,2008-2009,all
Los Angeles Lakers,82,65,17,48.2,78.3,21.7,63,19,18.7,11.5,18.3,17.6,43.9,52.2,47.8,85.4,14.6,57.7,42.3,2008-2009,all
Boston Celtics,82,62,20,48.5,78.6,21.4,61.3,19.9,19.5,11.6,19.2,17.1,41.4,54.1,45.9,91.1,8.9,60.6,39.4,2008-2009,all
Orlando Magic,82,59,23,48.1,66.5,33.5,51,15.5,29.6,11.4,19.4,14.2,35.5,41.7,58.3,87.1,12.9,54.4,45.6,2008-2009,all
Denver Nuggets,82,54,28,48.1,77.3,22.7,58.7,16.6,19.2,16.1,22.1,17.3,42.1,55.5,44.5,77.7,22.3,59.5,40.5,2008-2009,all
Portland Trail Blazers,82,54,28,48.4,76.1,23.9,59.4,20.5,21.9,9.2,18.7,15.8,38.9,46.7,53.3,90.1,9.9,55.2,44.8,2008-2009,all
San Antonio Spurs,82,54,28,48.5,75.2,24.8,60.7,24.5,23.6,9.7,15.7,13.8,36.2,48.9,51.1,88.5,11.5,57.1,42.9,2008-2009,all
Houston Rockets,82,53,29,48.3,74.6,25.4,57.9,17.2,23.1,8.9,19,13.8,40.7,49.2,50.8,82.4,17.6,56.2,43.8,2008-2009,all
Dallas Mavericks,82,50,32,48.3,75.9,24.1,61.3,26.7,20.5,14.9,18.2,15.1,34.6,50.6,49.4,85.1,14.9,56.9,43.1,2008-2009,all
New Orleans Hornets,82,49,33,48.2,76,24,59.9,20.4,21.2,10.9,18.8,15.7,39.6,47.1,52.9,89.9,10.1,55.3,44.7,2008-2009,all
Utah Jazz,82,48,34,48.5,83.1,16.9,64.8,21.3,13.8,12.4,21.4,18.5,43.5,60.9,39.1,89.3,10.7,64.4,35.6,2008-2009,all
Atlanta Hawks,82,47,35,48.1,74.7,25.3,58.6,18.1,22.3,15.9,19.1,15.8,40.5,48.3,51.7,86.8,13.2,56.1,43.9,2008-2009,all
Phoenix Suns,82,46,36,48.2,78.4,21.6,62.8,15.4,18.5,16.1,18.7,15.2,47.5,52,48,79.6,20.4,56.5,43.5,2008-2009,all
Miami Heat,82,43,39,48.7,75.5,24.5,60.8,23.1,21.7,9.8,17.5,17.6,37.7,48.5,51.5,82.6,17.4,55.1,44.9,2008-2009,all
Chicago Bulls,82,41,41,48.6,81.1,18.9,62.9,25.8,17.7,14.7,19.5,16.7,37,50.5,49.5,81.7,18.3,55.4,44.6,2008-2009,all
Philadelphia 76ers,82,41,41,48.2,83.6,16.4,66.5,20.9,12.8,18,20.7,18.6,45.6,51.6,48.4,80.9,19.1,55,45,2008-2009,all
Detroit Pistons,82,39,43,48.5,83.5,16.5,67.4,30.8,14.6,10.5,18,14.2,36.6,51,49,95.5,4.5,56.7,43.3,2008-2009,all
Indiana Pacers,82,36,46,48.4,75.6,24.4,59.6,20.1,22.7,12.7,17.7,14.4,39.5,45.4,54.6,93.3,6.7,55.1,44.9,2008-2009,all
Charlotte Bobcats,82,35,47,48.6,78.7,21.3,61.9,19,19.1,10.8,19,18.4,42.9,53.9,46.1,93.9,6.1,60.7,39.3,2008-2009,all
Milwaukee Bucks,82,34,48,48.2,79.2,20.8,61.4,23.2,18.8,11.7,19.8,18.7,38.1,53.9,46.1,89.2,10.8,59.9,40.1,2008-2009,all
New Jersey Nets,82,34,48,48.4,73.5,26.5,56.5,18.6,24.3,11.3,19.2,15.5,37.9,47.8,52.2,84.2,15.8,55.9,44.1,2008-2009,all
Toronto Raptors,82,33,49,48.3,80.7,19.3,63.4,28.6,17.7,9.5,18.9,15.2,34.8,54.3,45.7,91,9,60.1,39.9,2008-2009,all
New York Knicks,82,32,50,48.3,67.8,32.2,54.1,14.3,28.6,10.2,17.3,16.2,39.9,44.7,55.3,84.3,15.7,55.1,44.9,2008-2009,all
Golden State Warriors,82,29,53,48.5,79.1,20.9,60.2,20.5,18.5,16.9,21.3,15.2,39.7,46.8,53.2,82.7,17.3,53,47,2008-2009,all
Memphis Grizzlies,82,24,58,48.3,82.5,17.5,64.1,20.3,15.5,12.7,20.4,17.6,43.8,43.3,56.7,89.2,10.8,49.7,50.3,2008-2009,all
Minnesota Timberwolves,82,24,58,48.3,77.3,22.7,60.9,19.1,20.3,10.3,18.8,14.5,41.8,49.1,50.9,87.5,12.5,56.1,43.9,2008-2009,all
Oklahoma City Thunder,82,23,59,48.3,85.9,14.1,67.2,23.6,12.4,15,20.4,15.8,43.6,51.5,48.5,87.8,12.2,55.5,44.5,2008-2009,all
Los Angeles Clippers,82,19,63,48.5,77.4,22.6,62.1,19,20.6,11.2,17.4,14.8,43,52.5,47.5,84.7,15.3,58.3,41.7,2008-2009,all
Washington Wizards,82,19,63,48.1,82,18,66,22.9,15,11.1,19,15.9,43.1,50.6,49.4,82.5,17.5,54.8,45.2,2008-2009,all
Sacramento Kings,82,17,65,48.5,76.2,23.8,58.3,20.9,21.3,12,20.4,15.7,37.4,48.1,51.9,79,21,54.1,45.9,2008-2009,all
