TEAM,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%,SEASON,shotclock
Atlanta Hawks,72,67,4.00%,142,249,57,57.4,3.80%,140,240,58.3,0.10%,2,9,22.2,2020-21,24-22
New Orleans Pelicans,72,68,3.90%,138,249,55.4,56,3.80%,135,242,55.8,0.10%,3,7,42.9,2020-21,24-22
Boston Celtics,72,71,3.80%,141,244,57.8,58.8,3.70%,136,235,57.9,0.10%,5,9,55.6,2020-21,24-22
Memphis Grizzlies,72,72,3.50%,135,230,58.7,59.1,3.40%,133,222,59.9,0.10%,2,8,25,2020-21,24-22
Minnesota Timberwolves,72,68,3.40%,134,223,60.1,60.3,3.30%,133,214,62.1,0.10%,1,9,11.1,2020-21,24-22
Portland Trail Blazers,72,68,3.10%,114,205,55.6,57.1,2.80%,108,186,58.1,0.30%,6,19,31.6,2020-21,24-22
Cleveland Cavaliers,72,63,3.30%,112,203,55.2,55.4,3.30%,111,200,55.5,0.00%,1,3,33.3,2020-21,24-22
Philadelphia 76ers,72,66,3.20%,108,202,53.5,53.7,3.10%,107,194,55.2,0.10%,1,8,12.5,2020-21,24-22
Denver Nuggets,72,68,3.10%,122,200,61,63,3.00%,114,188,60.6,0.20%,8,12,66.7,2020-21,24-22
Dallas Mavericks,72,68,3.20%,110,200,55,56,3.00%,106,191,55.5,0.10%,4,9,44.4,2020-21,24-22
Washington Wizards,72,68,3.00%,109,198,55.1,56.3,2.80%,104,185,56.2,0.20%,5,13,38.5,2020-21,24-22
San Antonio Spurs,72,67,3.00%,117,196,59.7,59.9,2.90%,116,192,60.4,0.10%,1,4,25,2020-21,24-22
Los Angeles Lakers,72,67,3.20%,111,193,57.5,58.5,3.00%,107,185,57.8,0.10%,4,8,50,2020-21,24-22
Charlotte Hornets,72,70,3.10%,99,193,51.3,52.1,2.90%,96,184,52.2,0.10%,3,9,33.3,2020-21,24-22
Sacramento Kings,72,66,3.00%,102,189,54,54.8,2.80%,99,180,55,0.10%,3,9,33.3,2020-21,24-22
Utah Jazz,72,65,2.90%,104,186,55.9,57,2.70%,100,173,57.8,0.20%,4,13,30.8,2020-21,24-22
Orlando Magic,72,62,2.90%,102,186,54.8,55.1,2.70%,101,176,57.4,0.20%,1,10,10,2020-21,24-22
Toronto Raptors,72,65,2.90%,103,184,56,57.3,2.70%,98,170,57.6,0.20%,5,14,35.7,2020-21,24-22
Chicago Bulls,72,67,2.80%,100,178,56.2,56.5,2.70%,99,174,56.9,0.10%,1,4,25,2020-21,24-22
Milwaukee Bucks,72,61,2.70%,109,176,61.9,62.8,2.60%,106,172,61.6,0.10%,3,4,75,2020-21,24-22
Indiana Pacers,72,67,2.70%,103,175,58.9,59.4,2.50%,101,165,61.2,0.20%,2,10,20,2020-21,24-22
Detroit Pistons,72,63,2.90%,109,174,62.6,63.8,2.80%,105,168,62.5,0.10%,4,6,66.7,2020-21,24-22
Oklahoma City Thunder,72,61,2.60%,89,164,54.3,54.9,2.50%,87,156,55.8,0.10%,2,8,25,2020-21,24-22
LA Clippers,72,64,2.60%,92,160,57.5,58.8,2.40%,88,151,58.3,0.10%,4,9,44.4,2020-21,24-22
Houston Rockets,72,62,2.50%,84,160,52.5,53.1,2.40%,82,151,54.3,0.10%,2,9,22.2,2020-21,24-22
New York Knicks,72,65,2.60%,91,159,57.2,58.5,2.50%,87,152,57.2,0.10%,4,7,57.1,2020-21,24-22
Brooklyn Nets,72,62,2.50%,88,155,56.8,57.7,2.40%,85,148,57.4,0.10%,3,7,42.9,2020-21,24-22
Golden State Warriors,72,64,2.30%,82,144,56.9,58,2.10%,79,133,59.4,0.20%,3,11,27.3,2020-21,24-22
Miami Heat,72,63,2.20%,85,135,63,64.1,2.10%,82,124,66.1,0.20%,3,11,27.3,2020-21,24-22
Phoenix Suns,72,58,2.00%,78,126,61.9,63.5,1.90%,74,117,63.2,0.10%,4,9,44.4,2020-21,24-22
Washington Wizards,72,72,17.00%,585,1113,52.6,58.2,11.50%,459,754,60.9,5.50%,126,359,35.1,2020-21,22-18
Milwaukee Bucks,72,72,15.90%,535,1049,51,59.6,8.50%,355,562,63.2,7.40%,180,487,37,2020-21,22-18
Memphis Grizzlies,72,72,15.80%,538,1042,51.6,59.2,9.60%,381,631,60.4,6.20%,157,411,38.2,2020-21,22-18
Indiana Pacers,72,72,15.70%,577,1033,55.9,63.7,9.60%,414,630,65.7,6.10%,163,403,40.4,2020-21,22-18
Charlotte Hornets,72,72,15.50%,537,980,54.8,63.2,9.10%,372,573,64.9,6.40%,165,407,40.5,2020-21,22-18
Toronto Raptors,72,72,14.90%,481,953,50.5,58.2,8.80%,333,559,59.6,6.20%,148,394,37.6,2020-21,22-18
Sacramento Kings,72,72,14.60%,507,931,54.5,63.1,8.80%,347,559,62.1,5.80%,160,372,43,2020-21,22-18
Phoenix Suns,72,72,14.60%,488,918,53.2,61.5,8.30%,335,521,64.3,6.30%,153,397,38.5,2020-21,22-18
Golden State Warriors,72,72,14.40%,504,906,55.6,64.7,8.10%,339,513,66.1,6.20%,165,393,42,2020-21,22-18
Philadelphia 76ers,72,72,14.40%,467,900,51.9,61.5,7.20%,294,451,65.2,7.20%,173,449,38.5,2020-21,22-18
Brooklyn Nets,72,72,14.10%,486,886,54.9,63.7,8.00%,330,501,65.9,6.10%,156,385,40.5,2020-21,22-18
Houston Rockets,72,72,13.80%,421,867,48.6,55.6,8.00%,299,502,59.6,5.80%,122,365,33.4,2020-21,22-18
Los Angeles Lakers,72,71,13.50%,454,825,55,60.8,8.90%,358,543,65.9,4.60%,96,282,34,2020-21,22-18
Utah Jazz,72,72,13.00%,400,824,48.5,61.7,5.10%,183,320,57.2,8.00%,217,504,43.1,2020-21,22-18
New Orleans Pelicans,72,72,12.90%,453,823,55,60.9,8.60%,357,552,64.7,4.20%,96,271,35.4,2020-21,22-18
Minnesota Timberwolves,72,72,12.40%,421,813,51.8,58.2,7.60%,317,495,64,4.90%,104,318,32.7,2020-21,22-18
Milwaukee Bucks,72,72,22.00%,713,1454,49,58.3,12.00%,444,796,55.8,10.00%,269,658,40.9,2020-21,18-15
Indiana Pacers,72,72,21.40%,671,1407,47.7,54.7,12.70%,475,836,56.8,8.70%,196,571,34.3,2020-21,18-15
Washington Wizards,72,72,20.60%,643,1349,47.7,54.6,13.30%,456,868,52.5,7.30%,187,481,38.9,2020-21,18-15
Golden State Warriors,72,72,20.60%,640,1295,49.4,58.7,11.10%,400,700,57.1,9.40%,240,595,40.3,2020-21,18-15
Brooklyn Nets,72,72,20.00%,624,1258,49.6,58.6,11.20%,398,702,56.7,8.80%,226,556,40.6,2020-21,18-15
Minnesota Timberwolves,72,72,19.10%,587,1250,47,56.7,9.80%,344,642,53.6,9.30%,243,608,40,2020-21,18-15
San Antonio Spurs,72,72,18.80%,578,1225,47.2,53.6,12.80%,422,831,50.8,6.00%,156,394,39.6,2020-21,18-15
Oklahoma City Thunder,72,71,19.30%,527,1218,43.3,50.7,11.30%,347,709,48.9,8.10%,180,509,35.4,2020-21,18-15
Houston Rockets,72,72,19.20%,542,1208,44.9,54,9.40%,321,590,54.4,9.80%,221,618,35.8,2020-21,18-15
Utah Jazz,72,72,19.00%,554,1203,46.1,55.9,9.30%,318,586,54.3,9.70%,236,617,38.2,2020-21,18-15
Sacramento Kings,72,72,18.30%,577,1170,49.3,56.3,11.30%,414,720,57.5,7.10%,163,450,36.2,2020-21,18-15
New Orleans Pelicans,72,72,18.20%,575,1164,49.4,55.5,12.10%,432,775,55.7,6.10%,143,389,36.8,2020-21,18-15
Toronto Raptors,72,72,18.20%,512,1159,44.2,52.7,9.70%,315,617,51.1,8.50%,197,542,36.3,2020-21,18-15
Memphis Grizzlies,72,72,17.30%,533,1145,46.6,53,11.00%,386,729,52.9,6.30%,147,416,35.3,2020-21,18-15
Orlando Magic,72,72,17.80%,489,1142,42.8,49.9,10.70%,328,687,47.7,7.10%,161,455,35.4,2020-21,18-15
Portland Trail Blazers,72,72,17.40%,514,1141,45,54.1,9.10%,308,599,51.4,8.30%,206,542,38,2020-21,18-15
Boston Celtics,72,72,17.60%,538,1125,47.8,56.4,9.80%,345,629,54.8,7.70%,193,496,38.9,2020-21,18-15
Phoenix Suns,72,72,17.60%,550,1110,49.5,57.3,10.60%,379,668,56.7,7.00%,171,442,38.7,2020-21,18-15
Dallas Mavericks,72,72,17.40%,528,1092,48.4,56.8,9.40%,343,592,57.9,8.00%,185,500,37,2020-21,18-15
Chicago Bulls,72,72,17.10%,523,1091,47.9,56.6,9.30%,334,592,56.4,7.80%,189,499,37.9,2020-21,18-15
Charlotte Hornets,72,72,16.60%,488,1049,46.5,55.8,9.00%,294,568,51.8,7.60%,194,481,40.3,2020-21,18-15
LA Clippers,72,71,16.70%,484,1033,46.9,55.5,9.80%,306,607,50.4,6.90%,178,426,41.8,2020-21,18-15
Atlanta Hawks,72,72,16.10%,481,1012,47.5,54.7,10.00%,335,625,53.6,6.20%,146,387,37.7,2020-21,18-15
Miami Heat,72,72,16.50%,476,993,47.9,56.2,9.40%,311,565,55,7.10%,165,428,38.6,2020-21,18-15
New York Knicks,72,72,15.50%,450,956,47.1,54,9.90%,317,614,51.6,5.50%,133,342,38.9,2020-21,18-15
Los Angeles Lakers,72,71,15.60%,458,955,48,55.7,9.40%,311,571,54.5,6.30%,147,384,38.3,2020-21,18-15
Cleveland Cavaliers,72,71,15.70%,415,954,43.5,50.7,9.20%,277,562,49.3,6.40%,138,392,35.2,2020-21,18-15
Denver Nuggets,72,72,14.90%,460,948,48.5,57.6,8.10%,288,515,55.9,6.80%,172,433,39.7,2020-21,18-15
Philadelphia 76ers,72,72,15.10%,469,947,49.5,57.1,9.50%,326,595,54.8,5.60%,143,352,40.6,2020-21,18-15
Detroit Pistons,72,72,13.90%,380,846,44.9,53.1,8.00%,241,487,49.5,5.90%,139,359,38.7,2020-21,18-15
Boston Celtics,72,71,3.80%,129,242,53.3,53.5,3.60%,128,234,54.7,0.10%,1,8,12.5,2019-20,24-22
Portland Trail Blazers,73,70,3.60%,138,240,57.5,57.9,3.50%,136,234,58.1,0.10%,2,6,33.3,2019-20,24-22
Los Angeles Lakers,71,66,3.80%,157,239,65.7,66.3,3.70%,154,230,67,0.10%,3,9,33.3,2019-20,24-22
Orlando Magic,73,69,3.70%,128,236,54.2,54.7,3.60%,126,231,54.5,0.10%,2,5,40,2019-20,24-22
New Orleans Pelicans,71,69,3.40%,133,220,60.5,62.3,3.20%,125,208,60.1,0.20%,8,12,66.7,2019-20,24-22
Memphis Grizzlies,73,67,3.30%,125,219,57.1,57.3,3.20%,124,212,58.5,0.10%,1,7,14.3,2019-20,24-22
LA Clippers,72,67,3.40%,117,219,53.4,54.1,3.20%,114,208,54.8,0.20%,3,11,27.3,2019-20,24-22
Philadelphia 76ers,73,67,3.40%,118,216,54.6,55.3,3.20%,115,208,55.3,0.10%,3,8,37.5,2019-20,24-22
Dallas Mavericks,73,69,3.20%,115,211,54.5,55.2,3.10%,112,202,55.4,0.10%,3,9,33.3,2019-20,24-22
Indiana Pacers,73,70,3.20%,117,207,56.5,57.2,3.10%,114,199,57.3,0.10%,3,8,37.5,2019-20,24-22
Cleveland Cavaliers,65,62,3.60%,121,206,58.7,58.7,3.50%,121,201,60.2,0.10%,0,5,0,2019-20,24-22
Brooklyn Nets,72,66,3.10%,113,203,55.7,56.4,3.00%,110,194,56.7,0.10%,3,9,33.3,2019-20,24-22
Denver Nuggets,73,66,3.10%,131,199,65.8,66.8,2.90%,127,189,67.2,0.20%,4,10,40,2019-20,24-22
Atlanta Hawks,67,65,3.30%,117,198,59.1,60.4,3.00%,112,182,61.5,0.30%,5,16,31.3,2019-20,24-22
Sacramento Kings,71,64,3.10%,115,197,58.4,59.1,3.00%,112,186,60.2,0.20%,3,11,27.3,2019-20,24-22
Washington Wizards,72,68,3.00%,102,197,51.8,53.3,2.80%,96,185,51.9,0.20%,6,12,50,2019-20,24-22
Charlotte Hornets,64,61,3.50%,104,194,53.6,54.1,3.40%,102,187,54.5,0.10%,2,7,28.6,2019-20,24-22
Toronto Raptors,71,65,3.00%,112,189,59.3,61.1,2.80%,105,176,59.7,0.20%,7,13,53.8,2019-20,24-22
Detroit Pistons,65,60,3.30%,104,184,56.5,57.9,3.20%,99,177,55.9,0.10%,5,7,71.4,2019-20,24-22
Phoenix Suns,72,66,2.90%,103,184,56,57.3,2.70%,98,167,58.7,0.30%,5,17,29.4,2019-20,24-22
Utah Jazz,72,64,3.00%,107,183,58.5,59.3,2.80%,104,174,59.8,0.10%,3,9,33.3,2019-20,24-22
Milwaukee Bucks,72,62,2.80%,97,181,53.6,54.4,2.60%,94,172,54.7,0.10%,3,9,33.3,2019-20,24-22
Minnesota Timberwolves,64,59,3.10%,90,180,50,50.8,2.80%,87,165,52.7,0.30%,3,15,20,2019-20,24-22
New York Knicks,66,58,3.00%,104,179,58.1,58.4,3.00%,103,177,58.2,0.00%,1,2,50,2019-20,24-22
San Antonio Spurs,70,65,2.70%,90,167,53.9,53.9,2.70%,90,167,53.9,0.00%,0,0,-,2019-20,24-22
Houston Rockets,72,66,2.60%,96,166,57.8,58.7,2.40%,93,153,60.8,0.20%,3,13,23.1,2019-20,24-22
Golden State Warriors,65,59,2.90%,87,165,52.7,54.8,2.70%,80,154,51.9,0.20%,7,11,63.6,2019-20,24-22
Chicago Bulls,65,56,2.70%,89,157,56.7,57.6,2.60%,86,147,58.5,0.20%,3,10,30,2019-20,24-22
Oklahoma City Thunder,72,58,2.50%,92,154,59.7,61.4,2.30%,87,142,61.3,0.20%,5,12,41.7,2019-20,24-22
Miami Heat,72,61,2.10%,82,126,65.1,65.9,1.90%,80,115,69.6,0.20%,2,11,18.2,2019-20,24-22
Milwaukee Bucks,72,72,18.10%,595,1183,50.3,58.7,9.20%,395,598,66.1,9.00%,200,585,34.2,2019-20,22-18
Houston Rockets,72,72,17.80%,577,1160,49.7,55.9,10.80%,434,703,61.7,7.00%,143,457,31.3,2019-20,22-18
Toronto Raptors,71,71,18.30%,611,1142,53.5,61.5,11.10%,429,692,62,7.20%,182,450,40.4,2019-20,22-18
Washington Wizards,72,72,17.30%,567,1127,50.3,58.3,10.30%,387,669,57.8,7.00%,180,458,39.3,2019-20,22-18
New Orleans Pelicans,71,71,16.20%,560,1045,53.6,63,8.80%,363,570,63.7,7.40%,197,475,41.5,2019-20,22-18
Memphis Grizzlies,73,72,15.10%,525,998,52.6,59.6,9.50%,385,626,61.5,5.60%,140,372,37.6,2019-20,22-18
Los Angeles Lakers,71,71,15.70%,553,984,56.2,63.3,9.70%,413,609,67.8,6.00%,140,375,37.3,2019-20,22-18
LA Clippers,72,72,14.30%,454,917,49.5,56.3,8.50%,329,546,60.3,5.80%,125,371,33.7,2019-20,22-18
Boston Celtics,72,72,14.00%,490,904,54.2,61.1,8.80%,366,566,64.7,5.20%,124,338,36.7,2019-20,22-18
Phoenix Suns,72,72,14.00%,491,884,55.5,62,9.00%,376,568,66.2,5.00%,115,316,36.4,2019-20,22-18
Atlanta Hawks,67,67,14.50%,443,879,50.4,57.1,8.80%,326,531,61.4,5.70%,117,348,33.6,2019-20,22-18
Brooklyn Nets,72,72,13.50%,441,875,50.4,59.3,7.10%,286,459,62.3,6.40%,155,416,37.3,2019-20,22-18
Sacramento Kings,71,71,13.90%,443,867,51.1,59.4,7.60%,299,478,62.6,6.20%,144,389,37,2019-20,22-18
Chicago Bulls,65,65,15.00%,453,855,53,59.2,9.40%,347,539,64.4,5.50%,106,316,33.5,2019-20,22-18
Philadelphia 76ers,73,73,13.10%,444,836,53.1,62.6,7.00%,286,447,64,6.10%,158,389,40.6,2019-20,22-18
Oklahoma City Thunder,72,71,13.50%,421,833,50.5,58,8.40%,296,519,57,5.10%,125,314,39.8,2019-20,22-18
Minnesota Timberwolves,64,64,13.70%,408,803,50.8,58.7,7.80%,281,459,61.2,5.90%,127,344,36.9,2019-20,22-18
Portland Trail Blazers,73,73,11.80%,398,781,51,61.4,6.00%,235,400,58.8,5.70%,163,381,42.8,2019-20,22-18
Denver Nuggets,73,73,11.90%,384,768,50,57.7,6.70%,266,432,61.6,5.20%,118,336,35.1,2019-20,22-18
Golden State Warriors,65,65,13.30%,396,756,52.4,59.7,8.00%,285,455,62.6,5.30%,111,301,36.9,2019-20,22-18
Indiana Pacers,73,73,11.60%,386,744,51.9,58.2,7.70%,292,492,59.3,3.90%,94,252,37.3,2019-20,22-18
San Antonio Spurs,70,70,11.70%,386,728,53,60.1,7.50%,283,465,60.9,4.20%,103,263,39.2,2019-20,22-18
